x,y,z
6,38,101.027191162
6,39,80.9667816162
6,40,71.7636413574
6,41,70.3476791382
6,42,54.380279541
6,43,31.6207370758
6,44,17.3206214905
6,45,13.2698478699
6,46,12.2653360367
6,47,11.0668516159
6,48,13.2798137665
6,49,9.47885417938
6,50,7.91138601303
6,51,15.1621961594
6,52,9.47901344299
6,53,9.35186004639
6,54,10.2112979889
6,55,9.94737434387
6,56,9.51860809326
6,57,8.01912879944
6,58,8.1534910202
6,59,8.36043453217
6,60,8.11745929718
6,61,8.01993942261
6,62,7.78163719177
6,63,7.56537914276
6,64,7.39194774628
6,65,9.1066865921
6,66,9.7052822113
6,67,9.24661159515
6,68,9.33601760864
6,69,10.8741168976
6,70,9.9154586792
6,71,3.38310241699
6,72,2.18928170204
6,73,1.12099421024
6,74,1.39783430099
6,75,1.17549435082e-38
6,76,0.508059382439
6,77,1.17549435082e-38
6,78,0.234494879842
6,79,1.17549435082e-38
6,80,1.17549435082e-38
6,81,1.17549435082e-38
6,82,1.10028932471e-38
6,83,6.70074300969e-39
6,84,1.19087948692e-40
6,85,0
6,86,0
6,87,-0.0483107417822
6,88,-0.354270547628
6,89,-0.486777186394
6,90,-2.37311339378
6,91,-4.25814056396
6,92,-6.69465923309
6,93,-7.52929544449
6,94,-8.29646205902
6,95,-9.77049446106
7,0,68.1490859985
7,1,100.395019531
7,2,65.3303070068
7,3,128.856124878
7,4,167.564453125
7,5,148.533355713
7,6,82.046333313
7,7,31.4606056213
7,8,2.83847975731
7,9,-7.70769786835
7,10,-30.0749320984
7,11,-46.0058479309
7,12,-61.7378044128
7,13,-57.6407279968
7,14,-59.6738967896
7,15,-57.0673065186
7,16,-56.5575141907
7,17,-58.5873413086
7,18,-57.2225379944
7,19,-54.1915893555
7,20,-46.9442176819
7,21,-46.6042671204
7,22,-48.5804367065
7,23,-45.5290527344
7,24,-44.334197998
7,25,-46.8483848572
7,26,-52.0919837952
7,27,-52.1958808899
7,28,-35.4652252197
7,29,-21.5537853241
7,30,-28.3949108124
7,31,-12.9299182892
7,32,-4.20000267029
7,33,-0.0335399769247
7,34,11.0364513397
7,35,30.4996128082
7,36,56.4810028076
7,37,102.794578552
7,38,106.676612854
7,39,84.3124694824
7,40,79.6514358521
7,41,71.5623321533
7,42,56.3024139404
7,43,31.963596344
7,44,23.1094665527
7,45,22.8969306946
7,46,26.52983284
7,47,29.641166687
7,48,22.0842075348
7,49,23.5192623138
7,50,25.3011016846
7,51,17.3931179047
7,52,11.7728023529
7,53,11.3986873627
7,54,12.6095705032
7,55,11.5846767426
7,56,10.3727340698
7,57,10.5473060608
7,58,10.1174001694
7,59,9.515666008
7,60,8.62144947052
7,61,9.10969638824
7,62,8.86683273315
7,63,8.34537792206
7,64,8.45333862305
7,65,9.02548599243
7,66,9.96501350403
7,67,11.2225923538
7,68,10.0022153854
7,69,8.24070072174
7,70,9.75851249695
7,71,7.44740438461
7,72,7.50757884979
7,73,7.2113275528
7,74,5.4237165451
7,75,5.89304351807
7,76,10.5587882996
7,77,17.2499904633
7,78,17.685962677
7,79,19.0748386383
7,80,22.1344509125
7,81,7.22138404846
7,82,2.60335826874
7,83,1.03632557392
7,84,1.17549435082e-38
7,85,0.156571611762
7,86,1.17549435082e-38
7,87,1.14523989659e-38
7,88,4.41396824966e-39
7,89,-0.00345535157248
7,90,-0.0499204918742
7,91,-0.0562272593379
7,92,-0.0692192316055
7,93,-0.0814853087068
7,94,-0.148087590933
7,95,-2.13897371292
8,0,79.1100082397
8,1,132.09992981
8,2,84.4238510132
8,3,110.822685242
8,4,149.068847656
8,5,124.406723022
8,6,79.6618423462
8,7,71.5447921753
