id,osmid,name,lanes,len,maxUsed
6832,85562583,Lombard Street,3,4,4.0
6833,85562585,Lombard Street,3,3,4.0
6834,85562588,Lombard Street,3,3,4.0
6835,85562590,Steiner Street,,5,3.0
6836,85562592,Lombard Street,3,3,4.0
6837,85562596,Lombard Street,3,3,4.0
6838,85562598,Broderick Street,,1,4.0
6839,85562600,Richardson Avenue,3,2,3.0
6840,85562602,Scott Street,,8,3.0
6841,85562604,Lombard Street,3,3,4.0
6842,85562607,Francisco Street,,4,2.0
6843,85562608,Lombard Street,3,3,4.0
6844,85644903,Van Ness Avenue,,1,4.0
6845,85644904,Lombard Street,,1,5.0
6846,85644906,Francisco Street,,3,4.0
6847,85644908,Van Ness Avenue,3,4,5.0
