id,lon,lat,streets,alt
243599,-122.3878096,37.7669734,16th,2.758052349
71642,-122.403611,37.741476,Barneveld & Palou,4.631039143
75948,-122.376479,37.729052,Reardon,51.23661423
531403,-122.4864973,37.7296305,Lake Merced Bike Path & Lake Merced,30.54745483
531404,-122.4864621,37.729701,Lake Merced Bike Path,30.50542641
531402,-122.4865506,37.7295207,Lake Merced Bike Path & Lake Merced,30.28601646
62656,-122.3987697,37.776574,Brannan & 5th,2.871490955
62658,-122.4020601,37.7739736,Lucerne & Brannan,3.437147141
62659,-122.4021095,37.7739344,Boardman Place & Brannan,3.490995169
859030,-122.4137007,37.7483083,Cesar Chavez & Folsom,18.77230835
371969,-122.4626509,37.7182817,Orizaba,159.8363647
70501,-122.3927479,37.7103366,Thomas Mellon Circle,9.261539459
65340,-122.482113,37.790437,Bowley & Gibson,20.87220001
62525,-122.4353274,37.7239981,San Juan & Mission,58.16585922
62524,-122.4166283,37.8038189,Jones & Houston,18.7808609
62523,-122.4163029,37.8038589,Houston,11.62812328
65933,-122.4504486,37.7393373,Omar & Myra,214.0065765
65932,-122.4495894,37.7393061,Omar & Rockdale,208.4358063
1116955,-122.4608187,37.7355007,Miraloma & Yerba Buena,163.7698517
517295,-122.4472123,37.7851965,Euclid & Masonic,84.45629883
145148,-122.4369913,37.7146213,Edinburgh & Geneva,71.5945282
145147,-122.4378095,37.714976,Madrid & Geneva,70.0308609
145145,-122.4394403,37.7157062,Paris & Geneva,66.89712524
145146,-122.4386327,37.7153446,Lisbon & Geneva,68.80847931
835658,-122.4100606,37.7420168,Carver,76.94719696
71514,-122.447409,37.71265,Rae & Naglee,82.89694214
61252,-122.4538948,37.8006034,Lincoln & Girard,14.44956207
62103,-122.4617881,37.7515753,Laguna Honda & Clarendon,123.6843719
62104,-122.4614934,37.7512781,Laguna Honda & Clarendon,123.649231
67707,-122.4324422,37.7235548,Brazil & Lisbon,71.92977142
60347,-122.382962,37.734603,Ardath Court & Hawkins & Hudson,68.96034241
60210,-122.387729,37.731232,Quesada & Keith,26.43074226
228417,-122.474391,37.7157762,Font,58.44777298
455398,-122.4466418,37.7942106,Lyon,68.72640991
56273,-122.4402512,37.7298523,John F Foran,53.66551971
190522,-122.3948638,37.7684634,6th & Gene Friend & Owens,2.746023417
1136502,-122.448477,37.7359437,Los Palmos & Verna,141.9411163
192441,-122.4771296,37.7552018,Shriners,103.8571472
192442,-122.477629,37.755178,20th & Shriners,102.6702499
858167,-122.46977,37.8030066,Presidio Parkway,45.39442062
143164,-122.4345549,37.7840856,Geary & Steiner,43.48191834
143163,-122.4346019,37.7843006,Steiner & Geary,43.62818909
143162,-122.4345849,37.7842112,Steiner & Geary,43.45608139
143165,-122.4345411,37.7840088,Geary & Steiner,43.36895752
66870,-122.444254,37.726739,Arco & Havelock,64.63360596
60981,-122.4487173,37.7392746,Sequoia & Omar,207.3685761
145088,-122.4245422,37.7697448,Duboce & Guerrero,28.59951401
441370,-122.4513312,37.7585902,Clarendon & Stanyan,186.4326172
193108,-122.4236137,37.7729576,Octavia & Haight,26.08020592
193109,-122.4237089,37.7734327,Rose & Octavia,23.65309906
58751,-122.405449,37.7872127,Security Pacific Place,14.40126419
58750,-122.4053635,37.7867699,Security Pacific Place & O'Farrell,13.06726074
61285,-122.4691715,37.8009488,Ruckman & Lincoln,39.19143677
61287,-122.4690532,37.8019916,Cowles & Lincoln,37.58157349
587005,-122.4513139,37.7452099,O'Shaughnessy,178.279953
70952,-122.4650396,37.7406481,Claremont & Ulloa,110.2682266
510855,-122.4103212,37.8030309,Tuscany,26.15924644
61997,-122.4111127,37.7437295,Waltham,78.95506287
61998,-122.4382824,37.7348652,Paradise & Burnside,64.50330353
71810,-122.410779,37.794122,Shephard Place,63.3620224
71809,-122.50468,37.773505,44th & Cabrillo,22.82104683
70791,-122.4222174,37.7894028,Van Ness & Pine,57.7444725
70788,-122.4155691,37.7902533,Leavenworth & Pine,76.07732391
70790,-122.418843,37.78983,Larkin & Pine,51.73175049
70789,-122.417205,37.790045,Hyde & Pine,65.46490479
57306,-122.4096006,37.739727,Bradford & Cortland,19.40194511
