5831;08;005;COLLEGE OCTAVE GREARD;GYMNASE (REZ-DE-CHAUSSÉE);28;RUE DU GENERAL FOY;75008                                                                                                                 
5832;08;006;LYCEE CHAPTAL;;45;BOULEVARD DES BATIGNOLLES;75008                                                                                                                                           
5833;08;007;ECOLE ELEMENTAIRE;;4;RUE DE FLORENCE;75008                                                                                                                                                  
5834;08;008;ECOLE MATERNELLE;;7;RUE DE MOSCOU;75008                                                                                                                                                     
5835;08;009;ECOLE MATERNELLE;;12;RUE DE LA BIENFAISANCE;75008                                                                                                                                           
5836;08;010;ECOLE ELEMENTAIRE;;18;RUE DE SURENE;75008                                                                                                                                                   
5837;08;011;GYMNASE;;18;RUE ROQUEPINE;75008                                                                                                                                                             
5838;08;012;GYMNASE;;18;RUE ROQUEPINE;75008                                                                                                                                                             
5839;08;013;ECOLE ELEMENTAIRE;;10;RUE PAUL BAUDRY;75008                                                                                                                                                 
5840;08;014;ECOLE ELEMENTAIRE;PRÉAU (REZ-DE-CHAUSSÉE);10;RUE PAUL BAUDRY;75008                                                                                                                          
5841;08;015;CENTRE D'ANIMATION BEAUJON;;208;RUE DU FAUBOURG SAINT HONORE;75008                                                                                                                          
5842;08;016;ECOLE MATERNELLE;;12;RUE DE MONCEAU;75008                                                                                                                                                   
5843;08;017;ECOLE ELEMENTAIRE;;7;RUE ROBERT ESTIENNE;75008                                                                                                                                              
5844;08;018;ECOLE ELEMENTAIRE;;8;RUE ROBERT ESTIENNE;75008                                                                                                                                              
5845;09;001;MAIRIE D'ARRONDISSEMENT;SALLE ROSSINI;6;RUE DROUOT;75009                                                                                                                                    
5846;09;002;MAIRIE D'ARRONDISSEMENT;SALLE ROSSINI;6;RUE DROUOT;75009                                                                                                                                    
5847;09;003;ECOLE MATERNELLE;;11;RUE DE LA GRANGE BATELIERE;75009                                                                                                                                       
5848;09;004;ECOLE ELEMENTAIRE;;32;RUE BUFFAULT;75009                                                                                                                                                    
6054;09;005;ECOLE ELEMENTAIRE;;16;RUE DE LA VICTOIRE;75009                                                                                                                                              
6055;09;006;LYCEE CONDORCET;;65;RUE DE CAUMARTIN;75009                                                                                                                                                  
6560;09;007;ECOLE ELEMENTAIRE;;10;RUE DE CLICHY;75009                                                                                                                                                   
6056;09;008;ECOLE ELEMENTAIRE;;9;RUE BLANCHE;75009                                                                                                                                                      
6057;09;009;ECOLE MATERNELLE;;9bis;RUE BLANCHE;75009                                                                                                                                                    
6058;09;010;ECOLE MATERNELLE;;12;RUE CLAUZEL;75009                                                                                                                                                      
