2764,2376,6714
2765,1265,6810,4363
2768,8095,2917
2774,8774
2776,2004,4682
2778,5338,0924
2780,4474
2782,5766
2785,0253,3541
2787,2112
2788,0773,7302
2790,6859,1192
2793,3929,8783
2795,3537,5159
2797
2798,7177,1119,9154
2807,0053,8747
2809
2810,0829,8076
2811,5921,3804
2812,0062
2814,8048,6625
2817,1907,1328
2821,1994,6985
2822,7639,3277
2823,4403,6878
2824,0788,9983,9627
2825,2878,4507
2826,4695,4695
2827,7540,0877,5140
2829,7696,8435
2830
2831,7248,2829
2832,3540
2833,0963,8207
2834,8416,9828
2835,0471,8015
2836,2835
2837,7650,7682
2838,5422,0023,6995,2578
2839,5025,7637
2841,9270,8728
2845,4828,6634
2849,0704,5411
2850,4275,4272
2852,7776,5215
2854,5911,3867
2856,8158,7363
2860,1160,5168,8068
2862,2112,2611
2864,5820,5501,4799
2865,7432
2866,6513,5568
2867,8223,0393
2868,6621,2377
2870,4636,7324
