,,,,,,,,maxg,,,
088-04,f,Florence,LAMAZE,Lamaze,VEC,1279,0.030898198,1279,VEC,FALSE,Christian Franqueville
088-04,m,Jean-Jacques,GAULTIER,Gaultier,UMP,14787,0.357225685,1279,VEC,FALSE,Christian Franqueville
088-04,m,Jacques,THIRIET,Thiriet,DVD,401,0.009687394,1279,VEC,FALSE,Christian Franqueville
088-04,f,Camille,BAILLY,Bailly,EXG,169,0.004082717,1279,VEC,FALSE,Christian Franqueville
088-04,f,Louise,BUCHMANN,Buchmann,FN,6260,0.151229647,1279,VEC,FALSE,Christian Franqueville
088-04,m,Christian,FRANQUEVILLE,Franqueville,SOC,15312,0.369908682,15312,SOC,FALSE,Christian Franqueville
088-04,f,Audrey,VOYEN,Voyen,FG,1545,0.03732425,15312,SOC,TRUE,Christian Franqueville
089-01,,,,,inscrits,78353,1,0,0,FALSE,Guy Ferez
089-01,,,,,abstentions,31166,0.397763966,0,0,FALSE,Guy Ferez
089-01,,,,,blanc,666,0.008499994,0,0,FALSE,Guy Ferez
089-01,f,Maud,NAVARRE,Navarre,VEC,2078,0.044667999,2078,VEC,FALSE,Guy Ferez
089-01,f,Marion,SIGAUT,Sigaut,DVD,550,0.011822618,2078,VEC,FALSE,Guy Ferez
089-01,m,Guy,FEREZ,Ferez,SOC,16631,0.357494465,16631,SOC,FALSE,Guy Ferez
089-01,m,Bernard,B√âH√âREC,B„âH„âRec,ECO,180,0.00386922,16631,SOC,FALSE,Guy Ferez
089-01,m,JoÎl,RIGOLAT,Rigolat,DVD,81,0.001741149,16631,SOC,FALSE,Guy Ferez
089-01,m,Richard,JACOB,Jacob,FN,7809,0.167859676,16631,SOC,FALSE,Guy Ferez
089-01,f,Marie-Jeanne,BONTEMPS,Bontemps,DVD,285,0.006126266,16631,SOC,FALSE,Guy Ferez
089-01,m,Guillaume,LARRIV√â,Larriv„â,UMP,16015,0.344253133,16631,SOC,FALSE,Guy Ferez
089-01,m,Alain,RAYMONT,Raymont,FG,2385,0.05126717,16631,SOC,FALSE,Guy Ferez
089-01,f,Nicole,ASSEGOND,Assegond,EXG,263,0.005653361,16631,SOC,FALSE,Guy Ferez
089-01,f,Fabienne,DELORME,Delorme,EXG,244,0.005244943,16631,SOC,TRUE,Guy Ferez
089-02,,,,,inscrits,77714,1,0,0,FALSE,Jean-Yves Caullet
089-02,,,,,abstentions,30810,0.396453663,0,0,FALSE,Jean-Yves Caullet
089-02,,,,,blanc,707,0.00909746,0,0,FALSE,Jean-Yves Caullet
089-02,m,Thomas,GU√âRET,Gu„âRet,VEC,1293,0.02798883,1293,VEC,FALSE,Jean-Yves Caullet
089-02,f,Martine,MILLET,Millet,FG,2567,0.055566379,1293,VEC,FALSE,Jean-Yves Caullet
089-02,f,Julie,HANSE,Hanse,DVD,540,0.011689071,1293,VEC,FALSE,Jean-Yves Caullet
089-02,m,Jean-Yves,CAULLET,Caullet,SOC,16027,0.34692729,16027,SOC,FALSE,Jean-Yves Caullet
089-02,m,Raymond,PLAUTZ,Plautz,EXG,233,0.005043618,16027,SOC,FALSE,Jean-Yves Caullet
089-02,m,Patrick,GENDRAUD,Gendraud,NCE,3836,0.083035695,16027,SOC,FALSE,Jean-Yves Caullet
089-02,m,Jacques,KOTOUJANSKY,Kotoujansky,EXD,362,0.007836007,16027,SOC,FALSE,Jean-Yves Caullet
089-02,f,Audrey,DUMONT,Dumont,EXG,319,0.00690521,16027,SOC,FALSE,Jean-Yves Caullet
089-02,m,Claude,DASSI√â,Dassi„â,FN,7402,0.160226855,16027,SOC,FALSE,Jean-Yves Caullet
089-02,m,Jean-Marie,ROLLAND,Rolland,UMP,13618,0.294781046,16027,SOC,TRUE,Jean-Yves Caullet
089-03,,,,,inscrits,89161,1,0,0,FALSE,Nicolas Soret
089-03,,,,,abstentions,37082,0.415899328,0,0,FALSE,Nicolas Soret
089-03,,,,,blanc,767,0.008602416,0,0,FALSE,Nicolas Soret
089-03,f,Annie,SCANIGLIA-KERMIN,Scaniglia-Kermin,EXG,142,0.002767384,0,0,FALSE,Nicolas Soret
089-03,m,Michel,LEME,Leme,EXG,249,0.004852666,0,0,FALSE,Nicolas Soret
089-03,m,Edouard,FERRAND,Ferrand,FN,9883,0.192606018,0,0,FALSE,Nicolas Soret
089-03,m,Daniel,PARIS,Paris,RDG,4311,0.084015435,0,0,FALSE,Nicolas Soret
089-03,m,GÈrard,SERR√â,Serr„â,DVD,526,0.010251013,0,0,FALSE,Nicolas Soret
089-03,m,Michel,GOLLIARD,Golliard,EXD,482,0.009393514,0,0,FALSE,Nicolas Soret
089-03,f,Marie-Louise,FORT,Fort,UMP,18837,0.367107109,0,0,FALSE,Nicolas Soret
089-03,m,Nicolas,SORET,Soret,SOC,14393,0.280499688,14393,SOC,FALSE,Nicolas Soret
089-03,f,Jocelyne,PUGET,Puget,EXG,233,0.004540848,14393,SOC,FALSE,Nicolas Soret
089-03,f,Maryse,SANGUINET-TONNERRE,Sanguinet-Tonnerre,ECO,323,0.006294824,14393,SOC,FALSE,Nicolas Soret
089-03,f,Elodie,DELION,Delion,FG,1592,0.031025881,14393,SOC,FALSE,Nicolas Soret
089-03,m,Jean,ROUSSEL,Roussel,ECO,341,0.006645619,14393,SOC,TRUE,Nicolas Soret
090-01,,,,,inscrits,47187,1,0,0,FALSE,Anne-Marie Forcinal
090-01,,,,,abstentions,18648,0.395193591,0,0,FALSE,Anne-Marie Forcinal
090-01,,,,,blanc,407,0.008625257,0,0,FALSE,Anne-Marie Forcinal
090-01,f,Christiane,PETITOT,Petitot,EXG,170,0.00604294,0,0,FALSE,Anne-Marie Forcinal
090-01,m,Jean-Christophe,MURINGER,Muringer,DVD,239,0.008495663,0,0,FALSE,Anne-Marie Forcinal
090-01,f,Anne-Marie,FORCINAL,Forcinal,SOC,8822,0.313593061,8822,SOC,FALSE,Anne-Marie Forcinal
090-01,f,Eva,PEDROCCHI,Pedrocchi,VEC,936,0.033271719,8822,SOC,FALSE,Anne-Marie Forcinal
090-01,m,Marc,ARCHAMBAULT,Archambault,FN,4298,0.152779753,8822,SOC,FALSE,Anne-Marie Forcinal
090-01,m,Renaud,ROUSSELET,Rousselet,CEN,667,0.023709654,8822,SOC,FALSE,Anne-Marie Forcinal
090-01,m,SaÔd,MEFTAH EL KHAIR,Meftah El Khair,RDG,293,0.010415186,8822,SOC,FALSE,Anne-Marie Forcinal
090-01,m,Damien,MESLOT,Meslot,UMP,11317,0.402282099,8822,SOC,FALSE,Anne-Marie Forcinal
090-01,m,GÈrard,CRETIN,Cretin,EXD,245,0.008708944,8822,SOC,FALSE,Anne-Marie Forcinal
090-01,m,Jacques,RAMBUR,Rambur,FG,1145,0.040700981,8822,SOC,FALSE,Anne-Marie Forcinal
090-01,m,Claude,LARGER,Larger,AUT,0,0,8822,SOC,TRUE,Anne-Marie Forcinal
090-02,,,,,inscrits,47783,1,0,0,FALSE,…tienne Butzbach
090-02,,,,,abstentions,19244,0.402737375,0,0,FALSE,…tienne Butzbach
090-02,,,,,blanc,515,0.010777892,0,0,FALSE,…tienne Butzbach
090-02,f,Marie-JosÈ,FLEURY,Fleury,DVG,1862,0.066443049,0,0,FALSE,…tienne Butzbach
090-02,m,Jean-Marie,PHEULPIN,Pheulpin,EXG,225,0.008028832,0,0,FALSE,…tienne Butzbach
090-02,m,Olivier,MARCET,Marcet,EXG,200,0.00713674,0,0,FALSE,…tienne Butzbach
090-02,m,Emmanuel,PETITJEAN,Petitjean,FG,1377,0.049136454,0,0,FALSE,…tienne Butzbach
090-02,m,Jean-Christophe,MESSIN,Messin,CEN,778,0.027761918,0,0,FALSE,…tienne Butzbach
090-02,m,Etienne,BUTZBACH,Butzbach,DVG,8403,0.299850128,0,0,FALSE,…tienne Butzbach
090-02,m,Vincent,JEUDY,Jeudy,VEC,1163,0.041500143,1163,VEC,FALSE,…tienne Butzbach
090-02,m,Michel,ZUMKELLER,Zumkeller,PRV,8502,0.303382815,1163,VEC,FALSE,…tienne Butzbach
090-02,m,Bachir,BOUHMADOU,Bouhmadou,AUT,593,0.021160434,1163,VEC,FALSE,…tienne Butzbach
090-02,f,Isabelle,ROY,Roy,FN,4921,0.175599486,1163,VEC,FALSE,…tienne Butzbach
090-02,f,Gabrielle,DOMIN,Domin,RDG,0,0,1163,VEC,TRUE,…tienne Butzbach
091-01,,,,,inscrits,70325,1,0,0,FALSE,Manuel Valls
091-01,,,,,abstentions,35687,0.50745823,0,0,FALSE,Manuel Valls
091-01,,,,,blanc,567,0.008062567,0,0,FALSE,Manuel Valls
091-01,f,Cristela,DE OLIVEIRA,De Oliveira,UMP,6651,0.195210003,0,0,FALSE,Manuel Valls
091-01,m,Arnaud,VIVREL,Vivrel,AUT,105,0.0030818,0,0,FALSE,Manuel Valls
091-01,f,Marianne,SRHIR,Srhir,DVD,396,0.011622788,0,0,FALSE,Manuel Valls
091-01,m,Jacques,GERING,Gering,CEN,680,0.019958322,0,0,FALSE,Manuel Valls
091-01,f,Christine,DANQUIGNY,Danquigny,EXG,71,0.002083884,0,0,FALSE,Manuel Valls
091-01,m,Mohamed,CHABBI,Chabbi,AUT,270,0.007924628,0,0,FALSE,Manuel Valls
091-01,m,Fadhel,MAHBOULI,Mahbouli,ECO,217,0.006369053,0,0,FALSE,Manuel Valls
091-01,m,Francis,COUVIDAT,Couvidat,EXG,233,0.00683866,0,0,FALSE,Manuel Valls
091-01,m,Manuel,VALLS,Valls,SOC,16559,0.486014499,16559,SOC,FALSE,Manuel Valls
091-01,f,Danielle,VALERO,Valero,VEC,1389,0.040767808,16559,SOC,FALSE,Manuel Valls
091-01,m,Morvan,PREVOT,Prevot,DVG,85,0.00249479,16559,SOC,FALSE,Manuel Valls
091-01,m,Ulysse,RABATE,Rabate,FG,2648,0.077720055,16559,SOC,FALSE,Manuel Valls
091-01,m,Jean,CAMONIN,Camonin,EXG,179,0.005253735,16559,SOC,FALSE,Manuel Valls
091-01,m,Jean-Pierre,BRAY,Bray,FN,4588,0.134659975,16559,SOC,TRUE,Manuel Valls
091-02,,,,,inscrits,87370,1,0,0,FALSE,BÈatrice Perie
091-02,,,,,abstentions,35752,0.409202243,0,0,FALSE,BÈatrice Perie
091-02,,,,,blanc,491,0.005619778,0,0,FALSE,BÈatrice Perie
091-02,m,Alexis,LENNE,Lenne,AUT,334,0.006532752,0,0,FALSE,BÈatrice Perie
091-02,f,BÈatrice,PERIE,Perie,SOC,14780,0.289084046,14780,SOC,FALSE,BÈatrice Perie
091-02,m,Franck,SAILLEAU,Sailleau,FN,7455,0.145813367,14780,SOC,FALSE,BÈatrice Perie
091-02,m,Xavier,GUIOMAR,Guiomar,VEC,1476,0.028869286,14780,SOC,FALSE,BÈatrice Perie
091-02,f,RÈgine,LEFEBVRE,Lefebvre,EXG,92,0.001799441,14780,SOC,FALSE,BÈatrice Perie
091-02,f,Ester,NOWERSZTERN,Nowersztern,EXG,145,0.002836075,14780,SOC,FALSE,BÈatrice Perie
091-02,f,DaniËle,MAILLAT,Maillat,ECO,376,0.007354236,14780,SOC,FALSE,BÈatrice Perie
091-02,m,Franck,MARLIN,Marlin,UMP,21212,0.414888415,14780,SOC,FALSE,BÈatrice Perie
091-02,m,Jean-Louis,PORRY,Porry,DVD,455,0.008899407,14780,SOC,FALSE,BÈatrice Perie
091-02,m,Orazio,CASTELLANI,Castellani,EXG,127,0.00248401,14780,SOC,FALSE,BÈatrice Perie
091-02,m,FranÁois,JOUSSET,Jousset,FG,2826,0.055274121,14780,SOC,FALSE,BÈatrice Perie
091-02,f,Annie,CHEININE-FEUVRAIS,Cheinine-Feuvrais,CEN,961,0.018796331,14780,SOC,FALSE,BÈatrice Perie
091-02,m,Eric,REYNAUD,Reynaud,DVD,888,0.017368514,14780,SOC,TRUE,BÈatrice Perie
091-03,,,,,inscrits,92141,1,0,0,FALSE,Michel Pouzol
091-03,,,,,abstentions,37656,0.408678004,0,0,FALSE,Michel Pouzol
091-03,,,,,blanc,648,0.0070327,0,0,FALSE,Michel Pouzol
091-03,f,Laurence,RO√ãDER GRYSON,Ro„ãDer Gryson,EXG,252,0.004680796,0,0,FALSE,Michel Pouzol
091-03,f,NadËge,BOISSIERE,Boissiere,EXG,130,0.002414696,0,0,FALSE,Michel Pouzol
091-03,m,Steevy,GUSTAVE,Gustave,VEC,4105,0.076248677,4105,VEC,FALSE,Michel Pouzol
091-03,f,GeneviËve,COLOT,Colot,UMP,15541,0.288667645,4105,VEC,FALSE,Michel Pouzol
091-03,m,Philippe,CAMO,Camo,FG,3775,0.070119063,4105,VEC,FALSE,Michel Pouzol
091-03,f,FranÁoise,ANDRIEU,Andrieu,FN,8635,0.160391552,4105,VEC,FALSE,Michel Pouzol
091-03,f,Sophie,LEGOFF,Legoff,DVD,1020,0.018946078,4105,VEC,FALSE,Michel Pouzol
091-03,f,Bernadette,LAMISCARRE,Lamiscarre,ECO,663,0.012314951,4105,VEC,FALSE,Michel Pouzol
091-03,m,Michel,POUZOL,Pouzol,SOC,17325,0.321804707,17325,SOC,FALSE,Michel Pouzol
091-03,m,Nicolas,MEARY,Meary,CEN,2191,0.040696918,17325,SOC,FALSE,Michel Pouzol
091-03,f,JoÎlle,LOPES-VENOT,Lopes-Venot,EXG,200,0.003714917,17325,SOC,TRUE,Michel Pouzol
091-04,,,,,inscrits,92245,1,0,0,FALSE,Olivier Thomas
091-04,,,,,abstentions,35156,0.381115508,0,0,FALSE,Olivier Thomas
091-04,,,,,blanc,566,0.006135834,0,0,FALSE,Olivier Thomas
091-04,f,Nathalie,KOSCIUSKO-MORIZET,Kosciusko-Morizet,UMP,22302,0.394565044,0,0,FALSE,Olivier Thomas
091-04,m,Olivier,LEBRETON,Lebreton,EXG,187,0.003308388,0,0,FALSE,Olivier Thomas
091-04,m,Olivier,THOMAS,Thomas,SOC,20512,0.36289652,20512,SOC,FALSE,Olivier Thomas
091-04,f,Gabrielle,NGUYEN,Nguyen,CEN,1050,0.018576509,20512,SOC,FALSE,Olivier Thomas
091-04,f,Dominique,BARDY,Bardy,FG,2977,0.052668825,20512,SOC,FALSE,Olivier Thomas
091-04,m,Aldric,DERRE,Derre,EXD,219,0.003874529,20512,SOC,FALSE,Olivier Thomas
091-04,f,Martine,CROIZET,Croizet,DVD,474,0.008385967,20512,SOC,FALSE,Olivier Thomas
091-04,m,Jacques Lucien,SERNA,Serna,VEC,1565,0.027687844,20512,SOC,FALSE,Olivier Thomas
091-04,m,Mohamed,BOURICHI,Bourichi,AUT,296,0.005236806,20512,SOC,FALSE,Olivier Thomas
091-04,f,MÈlissa,ZANETTE,Zanette,EXG,146,0.002583019,20512,SOC,FALSE,Olivier Thomas
091-04,m,Alex,LACOMBE,Lacombe,ECO,359,0.006351397,20512,SOC,FALSE,Olivier Thomas
091-04,f,Brigitte,DUPIN,Dupin,FN,6436,0.113865152,20512,SOC,TRUE,Olivier Thomas
091-05,,,,,inscrits,66683,1,0,0,FALSE,Maud Olivier
091-05,,,,,abstentions,24375,0.365535444,0,0,FALSE,Maud Olivier
091-05,,,,,blanc,405,0.006073512,0,0,FALSE,Maud Olivier
091-05,m,GrÈgory,CHABOUSSANT,Chaboussant,EXG,80,0.001909171,0,0,FALSE,Maud Olivier
091-05,m,Paul,LORIDANT,Loridant,DVG,1868,0.044579147,0,0,FALSE,Maud Olivier
091-05,m,Pierre,GUILLERMAIN,Guillermain,FN,2732,0.065198196,0,0,FALSE,Maud Olivier
091-05,m,Emmanuel,HEROLD-CHARBONNEAUX,Herold-Charbonneaux,DVD,135,0.003221726,0,0,FALSE,Maud Olivier
091-05,m,Didier,HONTA,Honta,AUT,14,0.000334105,0,0,FALSE,Maud Olivier
091-05,f,AngÈlique,GROSMAIRE,Grosmaire,EXG,124,0.002959215,0,0,FALSE,Maud Olivier
091-05,m,Choukri,EL BARNOUSSI,El Barnoussi,AUT,352,0.008400353,0,0,FALSE,Maud Olivier
091-05,f,Maud,OLIVIER,Olivier,SOC,15637,0.373171372,15637,SOC,FALSE,Maud Olivier
091-05,m,Christophe,DURAND,Durand,DVD,216,0.005154762,15637,SOC,FALSE,Maud Olivier
091-05,m,Patrick,MIGNON,Mignon,DVD,447,0.010667494,15637,SOC,FALSE,Maud Olivier
091-05,m,HervÈ,HOCQUARD,Hocquard,UMP,13151,0.313843878,15637,SOC,FALSE,Maud Olivier
091-05,m,FranÁois,DHONDT,Dhondt,DVD,327,0.007803737,15637,SOC,FALSE,Maud Olivier
091-05,m,Jean-Paul,MORDEFROID,Mordefroid,CEN,1804,0.04305181,15637,SOC,FALSE,Maud Olivier
091-05,m,Serge,SAMAIN,Samain,ECO,290,0.006920746,15637,SOC,FALSE,Maud Olivier
091-05,f,Marie-Pierre,DIGARD,Digard,VEC,2065,0.049280481,15637,SOC,FALSE,Maud Olivier
091-05,m,Gilles,LASCHON,Laschon,FG,2552,0.060902561,15637,SOC,FALSE,Maud Olivier
091-05,m,Didier,PAXION,Paxion,EXG,109,0.002601246,15637,SOC,TRUE,Maud Olivier
091-06,,,,,inscrits,76221,1,0,0,FALSE,FranÁois Lamy
091-06,,,,,abstentions,31420,0.412222353,0,0,FALSE,FranÁois Lamy
091-06,,,,,blanc,437,0.005733328,0,0,FALSE,FranÁois Lamy
091-06,m,FranÁois,LAMY,Lamy,SOC,18014,0.40604995,18014,SOC,FALSE,FranÁois Lamy
091-06,m,Dawari,HORSFALL,Horsfall,AUT,680,0.015327743,18014,SOC,FALSE,FranÁois Lamy
091-06,m,CÈdric,GIRAUD,Giraud,FN,5091,0.114755207,18014,SOC,FALSE,FranÁois Lamy
091-06,f,Catherine,ABIET,Abiet,EXG,157,0.003538905,18014,SOC,FALSE,FranÁois Lamy
091-06,m,Michel,ROUYER,Rouyer,VEC,2207,0.049747543,18014,SOC,FALSE,FranÁois Lamy
091-06,f,Colette,JAN,Jan,FG,2977,0.067103958,18014,SOC,FALSE,FranÁois Lamy
091-06,m,GrÈgoire,DE LASTEYRIE,De Lasteyrie,UMP,9650,0.217518709,18014,SOC,FALSE,FranÁois Lamy
091-06,m,Nicolas,SAMSOEN,Samsoen,PRV,5085,0.114619962,18014,SOC,FALSE,FranÁois Lamy
091-06,m,Marc,SAUTEREY,Sauterey,EXG,117,0.002637273,18014,SOC,FALSE,FranÁois Lamy
091-06,m,Guillaume,BROSSOLLET,Brossollet,ECO,386,0.008700748,18014,SOC,TRUE,FranÁois Lamy
091-07,,,,,inscrits,71747,1,0,0,FALSE,Eva Sas
091-07,,,,,abstentions,31453,0.438387668,0,0,FALSE,Eva Sas
091-07,,,,,blanc,601,0.008376657,0,0,FALSE,Eva Sas
091-07,f,Eva,SAS,Sas,VEC,8868,0.223414708,8868,VEC,FALSE,Eva Sas
091-07,m,FranÁois,GARCIA,Garcia,DVG,6396,0.161136724,8868,VEC,FALSE,Eva Sas
091-07,f,Laurence,SPICHER-BERNIER,Spicher-Bernier,DVD,3965,0.099891669,8868,VEC,FALSE,Eva Sas
091-07,m,FrÈdÈric,BAUD,Baud,AUT,25,0.000629834,8868,VEC,FALSE,Eva Sas
091-07,m,Claude,ALLAIRE,Allaire,EXG,152,0.003829391,8868,VEC,FALSE,Eva Sas
091-07,m,Gabriel,AMARD,Amard,FG,4437,0.111782934,8868,VEC,FALSE,Eva Sas
091-07,f,FranÁoise,BRIAND,Briand,UMP,7263,0.182979367,8868,VEC,FALSE,Eva Sas
091-07,m,Marc,HOQUET,Hoquet,EXG,163,0.004106518,8868,VEC,FALSE,Eva Sas
091-07,m,Olivier,ROHO,Roho,DVD,136,0.003426297,8868,VEC,FALSE,Eva Sas
091-07,m,Emmanuel,MERMINOD,Merminod,ECO,498,0.012546293,8868,VEC,FALSE,Eva Sas
091-07,m,Bashir,CHEKINI,Chekini,DVD,162,0.004081324,8868,VEC,FALSE,Eva Sas
091-07,m,Daniel,JAUGEAS,Jaugeas,DVD,375,0.00944751,8868,VEC,FALSE,Eva Sas
091-07,m,Alain,VILLEMEUR,Villemeur,CEN,922,0.023228277,8868,VEC,FALSE,Eva Sas
091-07,f,Audrey,GUIBERT,Guibert,FN,6331,0.159499156,8868,VEC,TRUE,Eva Sas
091-08,,,,,inscrits,75339,1,0,0,FALSE,Aude Bristot
091-08,,,,,abstentions,30893,0.410053226,0,0,FALSE,Aude Bristot
091-08,,,,,blanc,301,0.003995275,0,0,FALSE,Aude Bristot
091-08,m,Nicolas,DUPONT-AIGNAN,Dupont-Aignan,DVD,18904,0.428225167,0,0,FALSE,Aude Bristot
091-08,f,Janathi,JEYAKUMAR,Jeyakumar,NCE,70,0.001585684,0,0,FALSE,Aude Bristot
091-08,m,Thomas,CHUST,Chust,EXG,128,0.002899536,0,0,FALSE,Aude Bristot
091-08,m,Denis,MOREL,Morel,ECO,168,0.003805641,0,0,FALSE,Aude Bristot
091-08,f,Marie-ThÈrËse,DONZEAU,Donzeau,FN,3136,0.071038623,0,0,FALSE,Aude Bristot
091-08,m,FrÈdÈric,BEAUBATON,Beaubaton,EXG,56,0.001268547,0,0,FALSE,Aude Bristot
091-08,f,Florie,LE VAGUERESE-MARIE,Le Vaguerese-Marie,VEC,968,0.021927738,968,VEC,FALSE,Aude Bristot
091-08,m,Eric,VALAT,Valat,CEN,473,0.01071469,968,VEC,FALSE,Aude Bristot
091-08,m,Farid,GHEHIOUECHE,Ghehioueche,AUT,187,0.00423604,968,VEC,FALSE,Aude Bristot
091-08,m,Laurent,BETEILLE,Beteille,UMP,4204,0.095231623,968,VEC,FALSE,Aude Bristot
091-08,f,VÈronique,LATAPIE,Latapie,FG,2413,0.054660777,968,VEC,FALSE,Aude Bristot
091-08,m,Laurent,TOURNIER,Tournier,EXG,107,0.002423831,968,VEC,FALSE,Aude Bristot
091-08,f,Aude,BRISTOT,Bristot,SOC,13331,0.301982104,13331,SOC,TRUE,Aude Bristot
091-09,,,,,inscrits,76276,1,0,0,FALSE,Thierry Mandon
091-09,,,,,abstentions,32659,0.428168756,0,0,FALSE,Thierry Mandon
091-09,,,,,blanc,579,0.007590854,0,0,FALSE,Thierry Mandon
091-09,m,FranÁois -Joseph,ROUX,Roux,DVD,0,0,0,0,FALSE,Thierry Mandon
091-09,m,Philippe,OLIVIER,Olivier,DVD,7,0.000162647,0,0,FALSE,Thierry Mandon
091-09,m,Georges,PUJALS,Pujals,DVD,1320,0.03067057,0,0,FALSE,Thierry Mandon
091-09,f,DaphnÈ,RACT-MADOUX,Ract-Madoux,CEN,935,0.021724987,0,0,FALSE,Thierry Mandon
091-09,m,BenoÓt,GRISAUD,Grisaud,EXG,162,0.003764115,0,0,FALSE,Thierry Mandon
091-09,m,Philippe,BRUN,Brun,DVD,1554,0.036107626,0,0,FALSE,Thierry Mandon
091-09,m,Georges,TRON,Tron,UMP,11663,0.270993076,0,0,FALSE,Thierry Mandon
091-09,f,Marie-Cecile,LEBRUN,Lebrun,VEC,1457,0.033853804,1457,VEC,FALSE,Thierry Mandon
091-09,m,Damien,HOUNSOU,Hounsou,ECO,256,0.005948232,1457,VEC,FALSE,Thierry Mandon
091-09,m,Ibrahima,DIA,Dia,EXG,199,0.004623821,1457,VEC,FALSE,Thierry Mandon
091-09,f,Isabelle,COCHARD,Cochard,FN,6063,0.140875505,1457,VEC,FALSE,Thierry Mandon
091-09,m,Thierry,MANDON,Mandon,SOC,17032,0.395743297,17032,SOC,FALSE,Thierry Mandon
091-09,f,Marie-France,WINGHARDT,Winghardt,FG,2390,0.05553232,17032,SOC,TRUE,Thierry Mandon
091-10,,,,,inscrits,60673,1,0,0,FALSE,Malek Boutih
091-10,,,,,abstentions,28609,0.471527698,0,0,FALSE,Malek Boutih
091-10,,,,,blanc,486,0.008010153,0,0,FALSE,Malek Boutih
091-10,f,Marianne,DURANTON,Duranton,PRV,5976,0.189245677,0,0,FALSE,Malek Boutih
091-10,m,GaÎl,FOUILLEUL,Fouilleul,FN,4920,0.155804674,0,0,FALSE,Malek Boutih
091-10,m,Paul-Henri,BAURE,Baure,ECO,201,0.006365191,0,0,FALSE,Malek Boutih
091-10,m,FranÁois,DELAPIERRE,Delapierre,FG,5261,0.166603331,0,0,FALSE,Malek Boutih
091-10,m,NoÎl,DEDJI,Dedji,ECO,147,0.00465514,0,0,FALSE,Malek Boutih
091-10,m,Thomas,ZLOWODZKI,Zlowodzki,DVD,1656,0.052441573,0,0,FALSE,Malek Boutih
091-10,m,Charles,VINCENT,Vincent,AUT,0,0,0,0,FALSE,Malek Boutih
091-10,m,Yassim,LAMAOUI,Lamaoui,AUT,338,0.010703654,0,0,FALSE,Malek Boutih
091-10,m,Malek,BOUTIH,Boutih,SOC,10914,0.345620369,10914,SOC,FALSE,Malek Boutih
091-10,f,Chantal,DUBOULAY,Duboulay,EXG,149,0.004718475,10914,SOC,FALSE,Malek Boutih
091-10,f,MichËle,FEDERAK,Federak,EXG,114,0.003610108,10914,SOC,FALSE,Malek Boutih
091-10,m,Christian,SOUBRA,Soubra,VEC,1102,0.034897714,10914,SOC,FALSE,Malek Boutih
091-10,m,Serge,GAUBIER,Gaubier,CEN,800,0.025334093,10914,SOC,TRUE,Malek Boutih
092-01,,,,,inscrits,59481,1,0,0,FALSE,Alexis Bachelay
092-01,,,,,abstentions,30570,0.51394563,0,0,FALSE,Alexis Bachelay
092-01,,,,,blanc,532,0.008944033,0,0,FALSE,Alexis Bachelay
092-01,f,Yasmine,AZIZOUDINE,Azizoudine,AUT,161,0.005673209,0,0,FALSE,Alexis Bachelay
092-01,f,Anne-Marie,DESACHY,Desachy,AUT,70,0.002466613,0,0,FALSE,Alexis Bachelay
092-01,m,RÈmi,CARILLON,Carillon,FN,3255,0.114697488,0,0,FALSE,Alexis Bachelay
092-01,f,Rachida,MELIHI,Melihi,ECO,121,0.004263716,0,0,FALSE,Alexis Bachelay
092-01,f,Anna,LE GAL,Le Gal,ECO,288,0.010148349,0,0,FALSE,Alexis Bachelay
092-01,m,Karim,YAHIAOUI,Yahiaoui,CEN,492,0.017336763,0,0,FALSE,Alexis Bachelay
092-01,m,Roland,MUZEAU,Muzeau,FG,8447,0.297649671,0,0,FALSE,Alexis Bachelay
092-01,f,Nora,DJELLAB,Djellab,UMP,3484,0.122766835,0,0,FALSE,Alexis Bachelay
092-01,f,Anne,BOURDU,Bourdu,DVD,155,0.005461785,0,0,FALSE,Alexis Bachelay
092-01,m,Taoufik,HALEM,Halem,VEC,741,0.026110857,741,VEC,FALSE,Alexis Bachelay
092-01,f,Muriel,SABAN,Saban,NCE,0,0,741,VEC,FALSE,Alexis Bachelay
092-01,f,Odile,MOURRE,Mourre,EXG,42,0.001479968,741,VEC,FALSE,Alexis Bachelay
092-01,m,Michel,BRETON,Breton,EXG,154,0.005426548,741,VEC,FALSE,Alexis Bachelay
092-01,f,Isabelle,GUICHARD,Guichard,EXG,138,0.004862751,741,VEC,FALSE,Alexis Bachelay
092-01,m,Denis,BUTAYE,Butaye,DVD,1141,0.040205786,741,VEC,FALSE,Alexis Bachelay
092-01,m,Hassan,BEN M'BAREK,Ben M'Barek,AUT,341,0.012015927,741,VEC,FALSE,Alexis Bachelay
092-01,m,Jean,GRIMAL,Grimal,EXG,122,0.004298953,741,VEC,FALSE,Alexis Bachelay
092-01,m,Alexis,BACHELAY,Bachelay,SOC,9227,0.325134783,9227,SOC,TRUE,Alexis Bachelay
092-02,,,,,inscrits,63572,1,0,0,FALSE,SÈbastien Pietrasanta
092-02,,,,,abstentions,25660,0.403636821,0,0,FALSE,SÈbastien Pietrasanta
092-02,,,,,blanc,424,0.006669603,0,0,FALSE,SÈbastien Pietrasanta
092-02,m,Manuel,AESCHLIMANN,Aeschlimann,UMP,10357,0.276275075,0,0,FALSE,SÈbastien Pietrasanta
