,,,,,,,,maxg,,,
003-01,f,Marie-FranÁoise,LACARIN,Lacarin,FG,8050,0.146672983,0,0,FALSE,Guy Chambefort
003-01,m,Yves,LECRIQUE,Lecrique,FN,5307,0.096694847,0,0,FALSE,Guy Chambefort
003-01,m,GÈrard,MATICHARD,Matichard,VEC,1296,0.023613439,1296,VEC,FALSE,Guy Chambefort
003-01,m,Guy,CHAMBEFORT,Chambefort,SOC,20947,0.3816595,20947,SOC,FALSE,Guy Chambefort
003-01,m,GÈrard,GUILLAUMIN,Guillaumin,ECO,543,0.009893594,20947,SOC,FALSE,Guy Chambefort
003-01,m,Pierre-AndrÈ,PERISSOL,Perissol,UMP,18312,0.333649151,20947,SOC,FALSE,Guy Chambefort
003-01,m,Bernard,LEBEL,Lebel,EXG,429,0.007816486,20947,SOC,TRUE,Guy Chambefort
003-02,,,,,inscrits,86742,1,0,0,FALSE,Bernard Lesterlin
003-02,,,,,abstentions,34102,0.393142883,0,0,FALSE,Bernard Lesterlin
003-02,,,,,blanc,1075,0.012393074,0,0,FALSE,Bernard Lesterlin
003-02,f,Marie,COUVAL,Couval,VEC,1069,0.020731116,1069,VEC,FALSE,Bernard Lesterlin
003-02,m,Jean-Marie,GUILLAUMIN,Guillaumin,ECO,507,0.009832251,1069,VEC,FALSE,Bernard Lesterlin
003-02,m,Luc,BOURDUGE,Bourduge,FG,8343,0.161795792,1069,VEC,FALSE,Bernard Lesterlin
003-02,m,Bernard,LESTERLIN,Lesterlin,SOC,18827,0.365111995,18827,SOC,FALSE,Bernard Lesterlin
003-02,m,Pascal,COURTY,Courty,FN,5181,0.100475128,18827,SOC,FALSE,Bernard Lesterlin
003-02,f,VÈronique,DREYFUS,Dreyfus,EXG,336,0.006516048,18827,SOC,FALSE,Bernard Lesterlin
003-02,m,Jean-Paul,MORET,Moret,EXG,121,0.002346553,18827,SOC,FALSE,Bernard Lesterlin
003-02,m,RenÈ,CASILLA,Casilla,EXG,390,0.00756327,18827,SOC,FALSE,Bernard Lesterlin
003-02,m,Bernard,TAILLANDIER,Taillandier,DVD,811,0.015727722,18827,SOC,FALSE,Bernard Lesterlin
003-02,m,Daniel,DUGLERY,Duglery,UMP,15980,0.309900126,18827,SOC,TRUE,Bernard Lesterlin
003-03,,,,,inscrits,79030,1,0,0,FALSE,Pascal Javerliat
003-03,,,,,abstentions,31203,0.39482475,0,0,FALSE,Pascal Javerliat
003-03,,,,,blanc,784,0.009920283,0,0,FALSE,Pascal Javerliat
003-03,m,Claude,MALHURET,Malhuret,UMP,15232,0.323788874,0,0,FALSE,Pascal Javerliat
003-03,m,Pascal,JAVERLIAT,Javerliat,PRV,325,0.006908573,0,0,FALSE,Pascal Javerliat
003-03,f,Anne,BABIAN-LHERMET,Babian-Lhermet,VEC,903,0.019195204,903,VEC,FALSE,Pascal Javerliat
003-03,m,Renaud,SIRY,Siry,ECO,142,0.003018515,903,VEC,FALSE,Pascal Javerliat
003-03,m,Jean-Marc,CARCASSIN,Carcassin,NCE,273,0.005803201,903,VEC,FALSE,Pascal Javerliat
003-03,f,Pascale,SEMET,Semet,FG,2650,0.056331441,903,VEC,FALSE,Pascal Javerliat
003-03,f,Claudine,LOPEZ,Lopez,FN,6415,0.136364603,903,VEC,FALSE,Pascal Javerliat
003-03,f,Sylvie,RASILE,Rasile,CEN,593,0.012605489,903,VEC,FALSE,Pascal Javerliat
003-03,m,Patrice,RUCAR,Rucar,ECO,307,0.006525944,903,VEC,FALSE,Pascal Javerliat
003-03,f,Monique,ROCHE,Roche,EXG,207,0.00440023,903,VEC,FALSE,Pascal Javerliat
003-03,m,GÈrard,CHARASSE,Charasse,RDG,19996,0.425057926,903,VEC,TRUE,Pascal Javerliat
004-01,,,,,inscrits,60582,1,0,0,FALSE,Gilbert Sauvan
004-01,,,,,abstentions,22681,0.374385131,0,0,FALSE,Gilbert Sauvan
004-01,,,,,blanc,717,0.011835199,0,0,FALSE,Gilbert Sauvan
004-01,m,FrÈdÈric,SANTIAGO,Santiago,CEN,565,0.015194707,0,0,FALSE,Gilbert Sauvan
004-01,f,Ludivine,EVANO,Evano,DVD,0,0,0,0,FALSE,Gilbert Sauvan
004-01,f,Marie-Anne,BAUDOUI-MAUREL,Baudoui-Maurel,DVD,1187,0.031922332,0,0,FALSE,Gilbert Sauvan
004-01,f,Ghislaine,AUBERT,Aubert,FN,6160,0.165662651,0,0,FALSE,Gilbert Sauvan
004-01,f,Mireille,CARLE,Carle,EXG,170,0.004571859,0,0,FALSE,Gilbert Sauvan
004-01,m,Daniel,RAGOLSKI,Ragolski,ECO,693,0.018637048,0,0,FALSE,Gilbert Sauvan
004-01,m,GÈrard,DE MEESTER,De Meester,VEC,3014,0.081056368,3014,VEC,FALSE,Gilbert Sauvan
004-01,f,Caroline,ALONSO,Alonso,EXG,192,0.005163511,3014,VEC,FALSE,Gilbert Sauvan
004-01,m,Gilbert,SAUVAN,Sauvan,SOC,12286,0.330410929,12286,SOC,FALSE,Gilbert Sauvan
004-01,f,Eliane,BARREILLE,Barreille,UMP,8804,0.236768503,12286,SOC,FALSE,Gilbert Sauvan
004-01,m,Jean-Louis,PIN,Pin,FG,3654,0.098268072,12286,SOC,FALSE,Gilbert Sauvan
004-01,f,JoÎlle,TEBAR,Tebar,NCE,180,0.004840792,12286,SOC,FALSE,Gilbert Sauvan
004-01,m,Hubert,CABASSUT,Cabassut,DVG,279,0.007503227,12286,SOC,TRUE,Gilbert Sauvan
004-02,,,,,inscrits,63327,1,0,0,FALSE,Christophe Castaner
004-02,,,,,abstentions,23926,0.377816729,0,0,FALSE,Christophe Castaner
004-02,,,,,blanc,605,0.009553587,0,0,FALSE,Christophe Castaner
004-02,f,Yamina,GUEBLI,Guebli,ECO,327,0.008428704,0,0,FALSE,Christophe Castaner
004-02,m,Cyril,BELMONTE,Belmonte,EXG,141,0.003634395,0,0,FALSE,Christophe Castaner
004-02,f,Isabelle,VERSCHUEREN,Verschueren,CEN,624,0.016084132,0,0,FALSE,Christophe Castaner
004-02,m,Bruno,MORIN,Morin,NCE,317,0.008170945,0,0,FALSE,Christophe Castaner
004-02,m,NoÎl,CHUISANO,Chuisano,DVD,315,0.008119394,0,0,FALSE,Christophe Castaner
004-02,m,Jean-Claude,CASTEL,Castel,UMP,11549,0.297685328,0,0,FALSE,Christophe Castaner
004-02,m,Jean-Claude,DIEDRICH,Diedrich,FN,5915,0.152464172,0,0,FALSE,Christophe Castaner
004-02,m,Christophe,CASTANER,Castaner,SOC,13872,0.357562635,13872,SOC,FALSE,Christophe Castaner
004-02,f,Catherine,BERTHONNECHE,Berthonneche,VEC,1702,0.043870502,13872,SOC,FALSE,Christophe Castaner
004-02,m,Jean-Michel,ROVIDA,Rovida,ALLI,220,0.005670688,13872,SOC,FALSE,Christophe Castaner
004-02,f,Martine,CARRIOL,Carriol,FG,3635,0.093695226,13872,SOC,FALSE,Christophe Castaner
004-02,f,Brigitte,PICARD,Picard,EXG,179,0.004613878,13872,SOC,TRUE,Christophe Castaner
005-01,,,,,inscrits,56120,1,0,0,FALSE,Karine Berger
005-01,,,,,abstentions,21482,0.382786885,0,0,FALSE,Karine Berger
005-01,,,,,blanc,607,0.010816108,0,0,FALSE,Karine Berger
005-01,m,Thierry,PAJOT,Pajot,CEN,630,0.018512533,0,0,FALSE,Karine Berger
005-01,m,Bernard,DERBEZ,Derbez,VEC,1315,0.038641239,1315,VEC,FALSE,Karine Berger
005-01,m,Guy,HADJI,Hadji,ECO,154,0.004525286,1315,VEC,FALSE,Karine Berger
005-01,m,Fabrice,ROSAY,Rosay,EXG,107,0.003144192,1315,VEC,FALSE,Karine Berger
005-01,m,Jacques,DAUDON,Daudon,AUT,121,0.003555582,1315,VEC,FALSE,Karine Berger
005-01,f,Danielle,FAY,Fay,DVD,264,0.007757633,1315,VEC,FALSE,Karine Berger
005-01,f,Elodie,MONIER,Monier,FN,4999,0.146895478,1315,VEC,FALSE,Karine Berger
005-01,f,Karine,BERGER,Berger,SOC,10181,0.299168405,10181,SOC,FALSE,Karine Berger
005-01,m,Guy,BLANC,Blanc,DVG,3650,0.10725515,10181,SOC,FALSE,Karine Berger
005-01,m,Jean,COINTE,Cointe,UMP,9206,0.270518057,10181,SOC,FALSE,Karine Berger
005-01,m,Jean-Claude,EYRAUD,Eyraud,FG,3404,0.100026446,10181,SOC,TRUE,Karine Berger
005-02,,,,,inscrits,50805,1,0,0,FALSE,JoÎl Giraud
005-02,,,,,abstentions,19103,0.376006299,0,0,FALSE,JoÎl Giraud
005-02,,,,,blanc,625,0.012301939,0,0,FALSE,JoÎl Giraud
005-02,f,VÈronique,BUISSON,Buisson,EXG,126,0.004054445,0,0,FALSE,JoÎl Giraud
005-02,f,Sophie,BRIAND,Briand,FN,3126,0.10058886,0,0,FALSE,JoÎl Giraud
005-02,f,Chantal,EYMEOUD,Eymeoud,UMP,10438,0.335875406,0,0,FALSE,JoÎl Giraud
005-02,f,Sandrine,FAIDY,Faidy,DVD,276,0.008881166,0,0,FALSE,JoÎl Giraud
005-02,m,Michel,BEN-HAIM,Ben-Haim,AUT,156,0.00501979,0,0,FALSE,JoÎl Giraud
005-02,m,JoÎl,GIRAUD,Giraud,RDG,13362,0.429964282,0,0,FALSE,JoÎl Giraud
