id,osmid,name,lanes
5728,42013080,Harkins Ridge Trail,
5729,42045644,Ridge Trail,
5730,42096458,Marine Parkway,
5731,42105071,Thornton Avenue,
5732,42105089,Thornton Avenue,
5733,42176286,Fairy Gates Trail,
5734,42248740,San Mateo - Hayward Bridge,3
5735,42319145,Farnsworth Lane,
5736,42322092,Historic Trail,
5737,42322499,South Ridge Trail,
5738,42322500,Nike Road,
5739,42336078,West Ridge Trail,
5740,42336079,Gardener&apos;s Trail,
5741,42380378,Bayshore Freeway,4
5742,42380379,Bayshore Freeway,4
5743,42385031,Crossover Drive,3
5744,42385032,Crossover Drive,3
5745,42385190,East Ridge Trail,
5746,42385202,North Ridge Trail,
5747,42385211,Mystery Trail,
5748,42437920,Broadway,
5749,42437953,Airport Boulevard,
5750,42439322,San Andreas Trail,
5751,42439486,East Millbrae Avenue,
5752,42445736,Edgemar Avenue,
5753,42448934,Amesport Landing,
5754,42448935,Amesport Landing,
5755,42476139,Miramontes Trail,
5756,42476140,Raymundo Trail,
5757,42476141,Mount Redondo Trail,
5758,42639241,Calhoun Street,
5759,42639697,San Pablo Avenue,
5760,42639699,San Pablo Avenue,
5761,42818421,Forest View Avenue,
5762,43100046,Delancey Street,
5763,43100047,Delancey Street,
5764,43100086,Bryant Street,
5765,43100739,Harriet Street,
5766,43100740,Harriet Street,
5767,43100743,Stevenson Street,
5768,43100745,Perry Street,1
5769,43101606,San Bruno Avenue,
5770,43101607,San Bruno Avenue,
5771,43102121,Yerba Buena Drive,
5772,43102152,Clipper Cove Way,
5773,43102153,Treasure Island Road,
5774,43180580,Commodore Drive,
5775,43184680,Lorton Avenue,
5776,43184682,Lorton Avenue,
5777,43250097,Burlingame Club Road,
5778,43250797,Laguna Street,
5779,43250798,Laguna Street,
5780,43250800,Franklin Street,
5781,43250801,Franklin Street,
5782,43591312,Gateview Driveway,
5783,43679671,43rd Avenue,
5784,43759484,Summit Street,
5785,43759485,Caine Avenue,
5786,43759486,Ridge Lane,
5787,43759489,Orizaba Avenue,
5788,43759492,Minerva Street,
5789,43759505,San Jose Avenue,
5790,43759506,San Jose Avenue,
5791,43759509,John F Foran Freeway,4
5792,43759510,John F Foran Freeway,4
5793,43759511,John F Foran Freeway,4
5794,43759512,John F Foran Freeway,4
5795,43759513,Shakespeare Street,
5796,43762624,An Francisco Civic Center,
5797,43762653,San Pedro Valley County Park,
5798,43762695,San Pedro Valley County Park,
5799,43875919,Skylawn,
5800,43942476,Judah Street,
